-16	0.75
-15.1112	0.75
-14.2224	0.75
-13.3336	0.75
-12.4624	0.75
-11.6088	0.75
-10.7728	0.75
-9.9544	0.75
-9.1536	0.75
-8.3704	0.75
-7.6048	0.75
-6.8568	0.75
-6.1264	0.75
-5.4136	0.75
-4.7184	0.75
-4.0408	0.75
-3.3808	0.75
-2.7384	0.75
-2.1136	0.75
-1.5064	0.75
-0.9168	0.75
-0.3448	0.75
0.2096	0.75
0.7464	0.75
1.2656	0.75
1.7672	0.75
2.2512	0.75
2.7176	0.75
3.1664	0.75
3.5976	0.75
4.0112	0.75
4.4072	0.75
4.783390651	0.709169206
5.152979057	0.6279844123
5.511649414	0.5073936393
5.855213417	0.3488050639
6.179659158	0.1540705753
6.481197982	-0.07453584998
6.756308724	-0.3343447022
7.001778828	-0.6223221107
7.214741863	-0.9351052718
7.39271099	-1.269041717
7.533608009	-1.620231965
7.63578762	-1.984575055
7.698056638	-2.357816437
7.719687929	-2.735597653
